Model,AUROC_median,CI_lower,CI_upper
LSTM-VAE,0.5833333333333335,0.5791666666666666,0.5929166666666668
OmniAnomaly,0.6208333333333333,0.6204166666666666,0.6487499999999999
T-VAE,0.5958333333333333,0.5904166666666667,0.6058333333333332
